15um				
/Hugo/2014/07012014/Gate Freq swp a			Power=100dBm	
	0V		20V	
f	Amp	Phase	Amp	Phase
5282330000	-78.6468469	-100.405476	-78.0119266	-100.702153
5282340000	-78.6703214	-103.684088	-78.231753	-98.7094777
5282350000	-78.4067549	-102.038189	-78.4638117	-93.9566381
5282360000	-78.9382897	-106.478076	-78.5418445	-98.48688
5282370000	-78.2907194	-97.8523277	-78.1573887	-96.031421
5282380000	-78.5213108	-97.1280151	-78.3677768	-96.5919525
5282390000	-78.1312033	-97.4445419	-78.7300247	-96.7213192
5282400000	-78.4343552	-98.7604366	-78.765483	-96.6130054
5282410000	-78.2879762	-101.346103	-78.955	-96.9197592
5282420000	-78.4999992	-100.257354	-78.2489139	-98.7513292
5282430000	-78.1615296	-95.6599827	-77.9802424	-94.3798134
5282440000	-77.8632917	-100.369775	-78.58287	-94.9637314
5282450000	-78.3591607	-97.4512289	-77.7026725	-94.9560519
5282460000	-78.1445439	-96.4475386	-78.0204719	-96.4501022
5282470000	-77.8998667	-98.9711748	-78.3483091	-96.9166627
5282480000	-77.4259507	-94.618015	-78.2628128	-92.6001346
5282490000	-77.8156974	-96.8218142	-78.1571545	-90.6521525
5282500000	-77.6058664	-97.0407406	-77.1815681	-94.2914402
5282510000	-77.4247779	-99.2442604	-78.074115	-95.0840288
5282520000	-77.9822374	-95.0661192	-77.5429805	-94.6470934
5282530000	-77.3163563	-94.534404	-77.1870193	-97.1745593
5282540000	-77.7641091	-96.2826378	-78.1956159	-93.4618622
5282550000	-77.6980045	-92.9288026	-77.4630057	-93.4317366
5282560000	-77.6718273	-93.9409194	-77.1835643	-87.741978
5282570000	-77.484604	-92.5159057	-77.1001659	-92.405765
5282580000	-77.1718928	-94.3127066	-77.4913176	-93.6827119
5282590000	-77.4537076	-96.0766602	-77.3829591	-91.0397648
5282600000	-77.0908669	-94.6097986	-77.1097523	-93.428418
5282610000	-77.2954731	-93.073916	-77.2322296	-94.7922238
5282620000	-77.4611032	-93.7478905	-76.5709397	-92.9033596
5282630000	-76.3556721	-95.1585966	-76.9793318	-91.4076416
5282640000	-77.3748934	-95.2350268	-77.2064249	-92.6706725
5282650000	-76.7132102	-97.2974584	-77.268608	-93.611485
5282660000	-76.8314946	-98.4979534	-76.9179883	-89.4298059
5282670000	-77.1669068	-95.345624	-76.6816425	-88.3667388
5282680000	-76.9010088	-95.4622921	-76.4817479	-89.6862283
5282690000	-76.6728852	-94.4747082	-77.0940488	-91.7398727
5282700000	-76.9429124	-93.3843834	-76.6840357	-91.5487203
5282710000	-76.7796024	-96.5299524	-77.114147	-94.4057765
5282720000	-77.0603448	-94.2360151	-76.7511372	-91.9819755
5282730000	-76.8859757	-93.1760589	-76.5383091	-91.3769441
5282740000	-76.9542901	-92.0945379	-77.2415105	-91.264872
5282750000	-77.1654452	-92.6500596	-76.8168393	-85.1585716
5282760000	-76.6085938	-91.0118641	-77.3894779	-89.5004557
5282770000	-76.6464421	-91.8454401	-76.769627	-86.5083872
5282780000	-76.1280616	-94.2388363	-76.2752461	-89.4439345
5282790000	-76.7519651	-93.5490083	-76.5951799	-92.179915
5282800000	-76.257675	-92.1124934	-76.3805033	-88.8846856
5282810000	-76.4726382	-91.4122566	-76.7050892	-87.5454129
5282820000	-76.2759753	-93.2257204	-76.637418	-91.0702209
5282830000	-76.3112606	-91.5078453	-76.3638506	-89.5462034
5282840000	-76.4928321	-90.7878927	-76.1513215	-86.8298714
5282850000	-76.2771093	-89.6812437	-76.2393416	-87.7942343
5282860000	-75.9710698	-90.413502	-75.9905776	-82.8120068
5282870000	-75.8190407	-91.0502771	-75.8894813	-87.4803305
5282880000	-76.3614913	-90.604767	-75.8854006	-84.5500719
5282890000	-76.1241316	-88.175122	-76.2582626	-89.1180194
5282900000	-76.2300267	-90.0558999	-76.209238	-89.4592441
5282910000	-75.9019383	-87.861051	-75.7546267	-86.0977749
5282920000	-75.6747667	-87.3988638	-75.7719832	-83.6945125
5282930000	-76.4886248	-89.9113663	-75.4670199	-86.776038
5282940000	-76.0203281	-86.1787619	-75.5076251	-86.4338458
5282950000	-75.9084196	-85.000822	-75.4264418	-82.6610081
5282960000	-75.3846158	-89.1097002	-75.8517949	-84.9218347
5282970000	-75.70269	-87.3670165	-75.3497548	-83.3514482
5282980000	-75.3175708	-88.0781647	-75.6362352	-82.5462064
5282990000	-74.8642669	-88.3065222	-75.4681081	-83.6991081
5283000000	-75.2188589	-84.9517651	-75.4056892	-86.6724345
5283010000	-75.0433871	-89.4579421	-75.3900725	-82.6071298
5283020000	-75.0551219	-87.6586896	-75.4514678	-83.8303808
5283030000	-75.1118168	-88.4671479	-75.3862867	-84.6264264
5283040000	-74.8520815	-84.0263769	-75.1675028	-82.8570599
5283050000	-75.4742304	-85.6040716	-74.9008851	-84.1543737
5283060000	-75.1923793	-87.1828279	-74.9850297	-81.8840659
5283070000	-74.8234593	-86.7658544	-75.1881489	-82.1040163
5283080000	-75.1516476	-86.6294383	-75.1997478	-84.249341
5283090000	-74.9873245	-83.6392057	-75.2000435	-82.5780529
5283100000	-74.6730256	-84.0940199	-75.0317186	-84.2899701
5283110000	-74.3315997	-83.546704	-74.7461837	-81.888966
5283120000	-75.1911889	-85.3182366	-74.7141386	-80.7227989
5283130000	-74.5874596	-84.502865	-75.0331843	-79.9414977
5283140000	-74.4179944	-83.9094675	-74.5863457	-81.766939
5283150000	-74.5846811	-83.4350593	-74.1230965	-80.8478917
5283160000	-74.3444692	-81.2904628	-74.6870779	-79.2625635
5283170000	-74.2876761	-84.1976245	-74.4824874	-82.6141712
5283180000	-74.3458883	-82.264714	-74.2290651	-80.7903169
5283190000	-74.8680034	-83.5245477	-74.9173545	-83.3379903
5283200000	-73.8741544	-84.9519946	-73.9411707	-79.8370955
5283210000	-74.0900249	-83.1413625	-74.2693331	-79.0277222
5283220000	-74.3270621	-83.1207856	-73.854101	-79.471713
5283230000	-73.8596599	-80.9814823	-74.1081902	-79.4853063
5283240000	-74.0619237	-83.9232756	-74.3591539	-80.0215579
5283250000	-73.949244	-81.0719838	-74.2980088	-79.438228
5283260000	-74.3595795	-81.5702701	-73.8514917	-76.2417158
5283270000	-74.4008673	-83.4573114	-73.6523271	-78.0730851
5283280000	-73.775474	-79.6512445	-73.8666983	-76.892153
5283290000	-73.7250461	-82.4459365	-73.7285583	-76.4701094
5283300000	-73.4590421	-82.1099237	-73.5680447	-78.2577273
5283310000	-73.8053685	-80.6036695	-73.7288468	-77.6075739
5283320000	-73.5360685	-80.1237066	-73.8165314	-77.552934
5283330000	-73.6782581	-80.6948529	-73.2465563	-76.9439241
5283340000	-73.4707386	-82.384709	-73.298896	-74.5770299
5283350000	-73.3264549	-80.1424082	-73.4202681	-74.9557381
5283360000	-72.9623845	-79.9341114	-73.1906975	-75.2553534
5283370000	-73.1820319	-79.4153843	-73.2247345	-76.5079222
5283380000	-73.5220798	-78.4970698	-73.0868495	-75.2974242
5283390000	-73.3262614	-76.3133284	-73.3462627	-77.1573686
5283400000	-72.8493086	-79.8057344	-72.7714581	-74.5052069
5283410000	-73.0998309	-77.1614471	-72.7362702	-75.8067669
5283420000	-72.8035583	-76.7265249	-72.844954	-72.9320958
5283430000	-72.4974006	-79.0480085	-72.7776057	-73.9211438
5283440000	-73.0864571	-78.598429	-72.6273637	-74.9738473
5283450000	-72.5904639	-75.0714257	-72.5582504	-76.9936073
5283460000	-72.413051	-78.0552308	-72.4081162	-73.6854888
